Date,Time,Location,"Lat,Lon",Download (Mbps),Upload (Mbps),Ping (ms),Server,ISP,Status
2026-09-24,11:00:00,"Kisumu, Kisumu County, KE","-0.1022,34.7617",25.65,3.90,369.2,VeloxServ Communications (London),Kenya Education Network,OK
2026-09-24,11:10:00,"Kisumu, Kisumu County, KE","-0.1022,34.7617",15.69,13.16,230.9,toob Ltd (London),Kenya Education Network,OK
2026-09-24,11:15:00,"Kisumu, Kisumu County, KE","-0.1022,34.7617",8.59,7.99,181.8,toob Ltd (London),Kenya Education Network,OK
2026-09-24,11:15:00,"Kisumu, Kisumu County, KE","-0.1022,34.7617",10.01,9.01,186.7,toob Ltd (London),Kenya Education Network,OK
2026-09-24,11:20:00,"Kisumu, Kisumu County, KE","-0.1022,34.7617",13.08,16.08,174.3,toob Ltd (London),Kenya Education Network,OK
2026-09-24,11:30:00,"Kisumu, Kisumu County, KE","-0.1022,34.7617",14.83,9.25,181.7,toob Ltd (London),Kenya Education Network,OK
2026-09-24,11:30:00,"Kisumu, Kisumu County, KE","-0.1022,34.7617",5.27,11.07,181.8,toob Ltd (London),Kenya Education Network,OK
2026-09-24,11:30:00,"Kisumu, Kisumu County, KE","-0.1022,34.7617",2.18,14.48,183.5,toob Ltd (London),Kenya Education Network,OK
2026-09-24,11:40:00,"Kisumu, Kisumu County, KE","-0.1022,34.7617",23.93,17.30,198.4,toob Ltd (London),Kenya Education Network,OK
2026-09-24,11:45:00,"Kisumu, Kisumu County, KE","-0.1022,34.7617",15.54,12.28,202.2,toob Ltd (London),Kenya Education Network,OK
2026-09-24,11:45:00,"Kisumu, Kisumu County, KE","-0.1022,34.7617",14.14,12.77,366.5,toob Ltd (London),Kenya Education Network,OK
